"base_gene_src","base_id_src","base_gene_dest","base_id_dest","pathway","database"
"CSF2RB","ENTREZID","PIK3CA","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"TRAF2","ENTREZID","DAB2IP","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"TNFRSF10B","ENTREZID","FADD","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"FAS","ENTREZID","FADD","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"IL3","ENTREZID","CSF2RB","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"CSF2RB","ENTREZID","HRAS","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"NGF","ENTREZID","NTRK1","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"NTRK1","ENTREZID","HRAS","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"TNF","ENTREZID","TNFRSF1A","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"TNFRSF1A","ENTREZID","TRADD","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"TNFRSF1A","ENTREZID","TRAF2","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"TNFRSF1A","ENTREZID","RIPK1","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"TNFSF10","ENTREZID","TNFRSF10B","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"FASLG","ENTREZID","FAS","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"FAS","ENTREZID","DAXX","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"GZMB","ENTREZID","LMNA","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"GZMB","ENTREZID","PARP2","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"BCL2L1","ENTREZID","BAX","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"BCL2L11","ENTREZID","BAX","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"DDIT3","ENTREZID","BCL2L1","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"CTSC","ENTREZID","BCL2L1","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"BCL2L11","ENTREZID","BCL2L1","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"MAPK8","ENTREZID","BCL2L1","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"PMAIP1","ENTREZID","BCL2L1","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"BBC3","ENTREZID","BCL2L1","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"DAXX","ENTREZID","MAP3K5","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"DAB2IP","ENTREZID","MAP3K5","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"MAP3K5","ENTREZID","MAPK8","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"ERN1","ENTREZID","MAP3K5","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"TRAF2","ENTREZID","MAP3K5","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"MAPK8","ENTREZID","BID","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"MAPK8","ENTREZID","JUN","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"MAPK8","ENTREZID","FOS","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"JUN","ENTREZID","TP53","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"JUN","ENTREZID","FAS","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"JUN","ENTREZID","FASLG","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"JUN","ENTREZID","BCL2L11","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"JUN","ENTREZID","HRK","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"FOS","ENTREZID","TP53","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"FOS","ENTREZID","FAS","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"FOS","ENTREZID","FASLG","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"FOS","ENTREZID","BCL2L11","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"FOS","ENTREZID","HRK","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"ATF4","ENTREZID","DDIT3","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"EIF2AK3","ENTREZID","EIF2S1","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"EIF2S1","ENTREZID","ATF4","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"GZMB","ENTREZID","TUBA1B","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"GZMB","ENTREZID","MCL1","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"MCL1","ENTREZID","BCL2L11","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"HRAS","ENTREZID","RAF1","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"RAF1","ENTREZID","MAP2K1","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"MAP2K1","ENTREZID","MAPK1","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"MAPK1","ENTREZID","BCL2","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"CDKN2A","ENTREZID","MDM2","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"FBXO5","ENTREZID","FZR1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"ANAPC10","ENTREZID","FZR1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CDK2","ENTREZID","FZR1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CCNA2","ENTREZID","FZR1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"BUB3","ENTREZID","ANAPC10","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"BUB1B","ENTREZID","ANAPC10","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"MAD2L2","ENTREZID","ANAPC10","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"WEE2","ENTREZID","CDK1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"PKMYT1","ENTREZID","CDK1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CDC25B","ENTREZID","CDK1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"GADD45G","ENTREZID","PCNA","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"PCNA","ENTREZID","CDK4","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"PCNA","ENTREZID","CCND1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"PLK1","ENTREZID","CDC25B","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"PLK1","ENTREZID","PKMYT1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CDK1","ENTREZID","PLK1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CCNB3","ENTREZID","PLK1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"FZR1","ENTREZID","PLK1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"ANAPC10","ENTREZID","PLK1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"ATM","ENTREZID","CHEK1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"MAD1L1","ENTREZID","MAD2L2","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"BUB1","ENTREZID","BUB3","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CDC14B","ENTREZID","FZR1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CDC14B","ENTREZID","ANAPC10","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"YWHAQ","ENTREZID","CDC25B","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"TP53","ENTREZID","SFN","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"SFN","ENTREZID","CCNB3","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CHEK1","ENTREZID","TP53","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CHEK1","ENTREZID","CDC25A","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CHEK1","ENTREZID","CDC25B","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"TP53","ENTREZID","CDKN1A","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CDKN1A","ENTREZID","CDK4","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CDKN1A","ENTREZID","CCND1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CDKN1A","ENTREZID","CCNE1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CDKN1A","ENTREZID","CDK2","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CDKN1A","ENTREZID","CCNA2","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"SKP2","ENTREZID","CDKN1A","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"SKP1","ENTREZID","CDKN1A","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"SMAD2","ENTREZID","CDKN1A","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"SMAD4","ENTREZID","CDKN1A","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"PRKDC","ENTREZID","TP53","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"MDM2","ENTREZID","RB1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"MDM2","ENTREZID","TP53","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CREBBP","ENTREZID","TP53","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"PTTG2","ENTREZID","ESPL1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CDC20","ENTREZID","PTTG2","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"ANAPC10","ENTREZID","PTTG2","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"ESPL1","ENTREZID","RAD21","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"ESPL1","ENTREZID","SMC3","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"ESPL1","ENTREZID","SMC1B","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"ESPL1","ENTREZID","STAG1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CDK1","ENTREZID","RB1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CCNA2","ENTREZID","RB1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"TP53","ENTREZID","GADD45G","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"GADD45G","ENTREZID","CCNB3","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CCNE1","ENTREZID","CDKN1B","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CDK2","ENTREZID","CDKN1B","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CDKN1B","ENTREZID","CDK4","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CDKN1B","ENTREZID","CCND1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CDKN1B","ENTREZID","CDK2","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CDKN1B","ENTREZID","CCNA2","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"SKP2","ENTREZID","CDKN1B","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"SKP1","ENTREZID","CDKN1B","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"SMAD2","ENTREZID","CDKN2B","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"SMAD4","ENTREZID","CDKN2B","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CDKN2B","ENTREZID","CDK4","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CDKN2B","ENTREZID","CCND1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"ZBTB17","ENTREZID","CDKN2B","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"TGFB1","ENTREZID","SMAD2","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CDK2","ENTREZID","CDC6","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CCNA2","ENTREZID","CDC6","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CDC25A","ENTREZID","CDK4","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CDC25A","ENTREZID","CDK2","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CDC25A","ENTREZID","CDK1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"GSK3B","ENTREZID","CCND1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CCNH","ENTREZID","CDK1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CDK7","ENTREZID","CDK1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CCNH","ENTREZID","CDK2","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CDK7","ENTREZID","CDK2","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"TFDP1","ENTREZID","CCNE1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"E2F1","ENTREZID","CCNE1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"TTK","ENTREZID","MAD1L1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CDKN2C","ENTREZID","CDK4","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CDKN2C","ENTREZID","CCND1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CDKN2D","ENTREZID","CDK4","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CDKN2D","ENTREZID","CCND1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CDKN2A","ENTREZID","CDK4","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CDKN2A","ENTREZID","CCND1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"SMAD2","ENTREZID","MYC","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"SMAD4","ENTREZID","MYC","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"E2F4","ENTREZID","MYC","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"TFDP1","ENTREZID","MYC","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"RBL1","ENTREZID","MYC","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"MYC","ENTREZID","ZBTB17","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"ABL1","ENTREZID","RB1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CDK2","ENTREZID","E2F1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CCNA2","ENTREZID","E2F1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"HDAC1","ENTREZID","RB1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CDK4","ENTREZID","RB1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CCND1","ENTREZID","RB1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CCNE1","ENTREZID","RB1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CDK2","ENTREZID","RB1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"RB1","ENTREZID","TFDP1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"RB1","ENTREZID","E2F1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CDK4","ENTREZID","RBL1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CCND1","ENTREZID","RBL1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"RBL1","ENTREZID","TFDP1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"RBL1","ENTREZID","E2F4","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CDKN1A","ENTREZID","FBXO5","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"SKP1","ENTREZID","CCNE1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"SKP1","ENTREZID","CDK2","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"SKP2","ENTREZID","CCNE1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"SKP2","ENTREZID","CDK2","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CDC20","ENTREZID","FZR1","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"CDC20","ENTREZID","ANAPC10","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"ANAPC10","ENTREZID","ANAPC10","ENTREZID","Cellular Processes-Cell growth and death-Cell cycle","kegg"
"RRAS2","ENTREZID","RASSF5","ENTREZID","Cellular Processes-Cell growth and death-Cellular senescence","kegg"
